01080000_203a972800000000_10000_0 | 203a9728_1
33800ffc_398007fd00000000_10000_0 | 398007fd_1
01100000_2040000000000000_00000_0 | 20400000_1
01200000_204a62c100000000_10000_0 | 204a62c1_1
01400000_205db3d700000000_10000_0 | 205db3d7_1
01600000_206f775000000000_10000_0 | 206f7750_1
01700000_2077def500000000_10000_0 | 2077def5_1
01780000_207bf7df00000000_10000_0 | 207bf7df_1
017c0000_207dfdfb00000000_10000_0 | 207dfdfb_1
017e0000_207eff7f00000000_10000_0 | 207eff7f_1
017f0000_207f7fdf00000000_10000_0 | 207f7fdf_1
017f8000_207fbff700000000_10000_0 | 207fbff7_1
017fc000_207fdffd00000000_10000_0 | 207fdffd_1
017fe000_207fefff00000000_10000_0 | 207fefff_1
017ff000_207ff7ff00000000_10000_0 | 207ff7ff_1
41867f7c_4083357200000000_10000_0 | 40833572_1
017ff800_207ffbff00000000_10000_0 | 207ffbff_1
5700002f_4b35051400000000_10000_0 | 4b350514_1
017ffc00_207ffdff00000000_10000_0 | 207ffdff_1
017ffe00_207ffeff00000000_10000_0 | 207ffeff_1
017fff00_207fff7f00000000_10000_0 | 207fff7f_1
3eeffefe_3f2f451000000000_10000_0 | 3f2f4510_1
017fff80_207fffbf00000000_10000_0 | 207fffbf_1
017fffc0_207fffdf00000000_10000_0 | 207fffdf_1
67ffffba_53b504da00000000_10000_0 | 53b504da_1
017fffe0_207fffef00000000_10000_0 | 207fffef_1
4b820000_4580ff0100000000_10000_0 | 4580ff01_1
017ffff0_207ffff700000000_10000_0 | 207ffff7_1
017ffff8_207ffffb00000000_10000_0 | 207ffffb_1
3381bfff_3980df3c00000000_10000_0 | 3980df3c_1
017ffffc_207ffffd00000000_10000_0 | 207ffffd_1
017ffffe_207ffffe00000000_10000_0 | 207ffffe_1
017fffff_207fffff00000000_10000_0 | 207fffff_1
3f00000a_3f3504fa00000000_10000_0 | 3f3504fa_1
017ffffd_207ffffe00000000_10000_0 | 207ffffe_1
33801fe0_39800fef00000000_10000_0 | 39800fef_1
017ffffb_207ffffd00000000_10000_0 | 207ffffd_1
3c808400_3e0041ef00000000_10000_0 | 3e0041ef_1
017ffff7_207ffffb00000000_10000_0 | 207ffffb_1
33ffd800_39b4f6ce00000000_10000_0 | 39b4f6ce_1
017fffef_207ffff700000000_10000_0 | 207ffff7_1
017fffdf_207fffef00000000_10000_0 | 207fffef_1
017fffbf_207fffdf00000000_10000_0 | 207fffdf_1
3f71f5ef_3f78e1a100000000_10000_0 | 3f78e1a1_1
017fff7f_207fffbf00000000_10000_0 | 207fffbf_1
017ffeff_207fff7f00000000_10000_0 | 207fff7f_1
017ffdff_207ffeff00000000_10000_0 | 207ffeff_1
3aec60e1_3d2df19b00000000_10000_0 | 3d2df19b_1
017ffbff_207ffdff00000000_10000_0 | 207ffdff_1
017ff7ff_207ffbff00000000_10000_0 | 207ffbff_1
4b008040_45355f8c00000000_10000_0 | 45355f8c_1
017fefff_207ff7ff00000000_10000_0 | 207ff7ff_1
403fffdf_3fddb3c400000000_10000_0 | 3fddb3c4_1
017fdfff_207feffe00000000_10000_0 | 207feffe_1
7effffb0_5f3504d600000000_10000_0 | 5f3504d6_1
017fbfff_207fdffd00000000_10000_0 | 207fdffd_1
017f7fff_207fbff700000000_10000_0 | 207fbff7_1
017effff_207f7fdf00000000_10000_0 | 207f7fdf_1
017dffff_207eff7e00000000_10000_0 | 207eff7e_1
017bffff_207dfdfb00000000_10000_0 | 207dfdfb_1
0177ffff_207bf7de00000000_10000_0 | 207bf7de_1
016fffff_2077def500000000_10000_0 | 2077def5_1
015fffff_206f775000000000_10000_0 | 206f7750_1
013fffff_205db3d600000000_10000_0 | 205db3d6_1
011fffff_204a62c100000000_10000_0 | 204a62c1_1
4f40fffe_475e477200000000_10000_0 | 475e4772_1
010fffff_203fffff00000000_10000_0 | 203fffff_1
0107ffff_203a972700000000_10000_0 | 203a9727_1
0103ffff_2037d37400000000_10000_0 | 2037d374_1
4eab026c_4713f33500000000_10000_0 | 4713f335_1
0101ffff_20366d9500000000_10000_0 | 20366d95_1
0100ffff_2035b99d00000000_10000_0 | 2035b99d_1
3df77fff_3eb1fd1f00000000_10000_0 | 3eb1fd1f_1
01007fff_20355f5e00000000_10000_0 | 20355f5e_1
01003fff_2035322e00000000_10000_0 | 2035322e_1
01001fff_20351b9100000000_10000_0 | 20351b91_1
01000fff_2035104200000000_10000_0 | 20351042_1
0167ffff_2073b46900000000_10000_0 | 2073b469_1
010007ff_20350a9a00000000_10000_0 | 20350a9a_1
010003ff_203507c600000000_10000_0 | 203507c6_1
010001ff_2035065c00000000_10000_0 | 2035065c_1
010000ff_203505a700000000_10000_0 | 203505a7_1
5e8000e0_4f00006f00000000_10000_0 | 4f00006f_1
0100007f_2035054d00000000_10000_0 | 2035054d_1
0100003f_2035051f00000000_10000_0 | 2035051f_1
0100001f_2035050900000000_10000_0 | 20350509_1
0100000f_203504fd00000000_10000_0 | 203504fd_1
7e80fff0_5f007fb800000000_10000_0 | 5f007fb8_1
01000007_203504f800000000_10000_0 | 203504f8_1
01000003_203504f500000000_10000_0 | 203504f5_1
33800000_3980000000000000_00000_0 | 39800000_1
33800001_3980000000000000_10000_0 | 39800000_1
5afffc00_4d35038900000000_10000_0 | 4d350389_1
33800002_3980000000000000_10000_0 | 39800000_1
3f8fff00_3f87c33d00000000_10000_0 | 3f87c33d_1
33800004_3980000100000000_10000_0 | 39800001_1
33800008_3980000300000000_10000_0 | 39800003_1
3f002fff_3f3526e000000000_10000_0 | 3f3526e0_1
33800010_3980000700000000_10000_0 | 39800007_1
33800020_3980000f00000000_10000_0 | 3980000f_1
33800040_3980001f00000000_10000_0 | 3980001f_1
33800080_3980003f00000000_10000_0 | 3980003f_1
2a9455ac_3509caf000000000_10000_0 | 3509caf0_1
33800100_3980007f00000000_10000_0 | 3980007f_1
7e803dff_5f001efb00000000_10000_0 | 5f001efb_1
33800200_398000ff00000000_10000_0 | 398000ff_1
