0 x || xx xx || x x x || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
1 x || 00 00 || 1 0 0 || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxxxxxxxxxxxxx || xxxxxx || Xxxxxxxx
1 x || 01 10 || 1 0 0 || 011010101011011010111000101 011111111111111110000000111 100000000000000001111111000 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110110101110010010 110101010110110101110110010 110101010110110101101110010 || 110101010110110101110010010 || 556d72 || bfd56d72
0 x || 01 11 || 1 0 0 || 011010101011011100100010100 011111111111111110000000111 100000000000000001111111000 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 01 11 || 0 1 0 || 011010101011011100100010100 011111111111111110000000111 100000000000000001111111000 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 01 10 || 0 1 0 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || xxxxxxxxxxxxxxxxxxxxxxxxxxx || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
1 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
0 x || 10 10 || 0 0 1 || 011010101011011100100010100 011111111111111111111111110 100000000000000000000000001 || 111111111111111111111111110 || 110101010110111001000110000 110101010110111001001010000 110101010110111001000010000 || 110101010110111001000110000 || 556e46 || bfd56e46
