8683f7ff_c07f3fff_05845b44_xxxxx_x | 05845b44_1
c7ffff7d_4b8b33f6_bbeb653b_xxxxx_x | bbeb653b_1
537fafff_bf367376_d3b36130_xxxxx_x | d3b36130_1
c0200000_4b80f7ff_b41ecc55_xxxxx_x | b41ecc55_1
bd8fffef_40800001_bc8fffee_xxxxx_x | bc8fffee_1
bc0b3605_35168636_c66cc262_xxxxx_x | c66cc262_1
c17ffffe_c380000d_3d7fffe4_xxxxx_x | 3d7fffe4_1
fedc0000_5fa2dcc3_deace821_xxxxx_x | deace821_1
a41a9345_40ffffff_a29a9345_xxxxx_x | a29a9346_0
3018ea8c_997fcfff_d619073e_xxxxx_x | d619073e_1
7ebc505c_cf700006_eec8de3b_xxxxx_x | eec8de3b_1
6afffff0_be3ff7fe_ec2ab1bf_xxxxx_x | ec2ab1bf_1
bcdfffdf_40fffffe_bb5fffe0_xxxxx_x | bb5fffe1_0
d6301758_3d7f9fff_d830597a_xxxxx_x | d830597a_1
de8905fd_3f803fe0_de88c1be_xxxxx_x | de88c1be_1
39367c70_4990879f_2f219d83_xxxxx_x | 2f219d83_1
3078d456_4b800000_2478d456_xxxxx_x | 2478d456_1
c0817fff_4ef841f8_b10589e4_xxxxx_x | b10589e5_0
337fffc4_417ffeef_3180006a_xxxxx_x | 3180006b_0
434c386a_4b800001_374c3868_xxxxx_x | 374c3868_1
4f20007f_cf04003e_bf9b26fc_xxxxx_x | bf9b26fc_1
c11ffffe_beec28b4_41ad7144_xxxxx_x | 41ad7144_1
be808080_c3fedfff_3a0111b4_xxxxx_x | 3a0111b4_1
d2780003_4bffffff_c5f80004_xxxxx_x | c5f80004_1
35dfbfff_c1966acf_b3be675a_xxxxx_x | b3be675a_1
be5e6df5_3e83ffff_bf57b073_xxxxx_x | bf57b073_1
41f87006_717fff03_0ff870fb_xxxxx_x | 0ff870fc_0
b780803f_4bfffffe_ab008040_xxxxx_x | ab008040_1
3f0037ff_45803fe0_38fff046_xxxxx_x | 38fff046_1
40043fff_3ea0ffff_40d24924_xxxxx_x | 40d24924_1
4efeffee_bf7803ff_cf039abf_xxxxx_x | cf039abf_1
0ec040fa_c53fdffe_890040b3_xxxxx_x | 890040b3_1
bd80fff7_3f8017fe_bd80e7cd_xxxxx_x | bd80e7ce_0
cfffefff_de6ffdff_31088123_xxxxx_x | 31088123_1
b3e80000_cf7807ff_23ef7426_xxxxx_x | 23ef7427_0
3b5ffff0_c3000107_b7dffe24_xxxxx_x | b7dffe24_1
3f0001fc_5f7ff820_1f0005ec_xxxxx_x | 1f0005ec_1
b380800f_aa8040fe_48803ef1_xxxxx_x | 48803ef1_1
dfd56ece_407fbfe0_ded5a452_xxxxx_x | ded5a452_1
cf79ffff_3e7f0fff_d07aeb3c_xxxxx_x | d07aeb3d_0
de0c0000_df9bfffe_3de5be5f_xxxxx_x | 3de5be5f_1
44803fff_df251f0d_a4c6d5eb_xxxxx_x | a4c6d5ec_0
5edbfdf1_407ff03e_5ddc0b7c_xxxxx_x | 5ddc0b7c_1
43001100_f3801ffb_8effe211_xxxxx_x | 8effe211_1
bbbcb702_44b9193c_b6828032_xxxxx_x | b6828032_1
d7fff001_c07feff8_57000004_xxxxx_x | 57000005_0
de83ffbf_bcbc40b4_61338083_xxxxx_x | 61338084_0
b577fffe_5bffefee_98f80f90_xxxxx_x | 98f80f90_1
de7f7ff7_bf804000_5e7f0077_xxxxx_x | 5e7f0077_1
c1a38aae_42c2ccd2_be56ebd8_xxxxx_x | be56ebd8_1
a11effff_5644b72a_8a4eeb09_xxxxx_x | 8a4eeb09_1
bb7e01ff_3e0feffe_bce1e1ff_xxxxx_x | bce1e1ff_1
414c5277_5e7ffffc_224c527a_xxxxx_x | 224c527a_1
33e28938_93fff810_df62903e_xxxxx_x | df62903e_1
c1ff007f_ac414372_5528e3d1_xxxxx_x | 5528e3d1_1
3eca9a53_bf2f130e_bf142062_xxxxx_x | bf142062_1
bf80017f_c67fffff_3880017f_xxxxx_x | 38800180_0
c0e62836_a509ffff_5b557aa3_xxxxx_x | 5b557aa3_1
3e10e3ad_55b0ae3e_27d1efb0_xxxxx_x | 27d1efb0_1
5e1fffef_bc8001fd_e11ffd73_xxxxx_x | e11ffd73_1
427ffefa_33803fe0_4e7f7f7a_xxxxx_x | 4e7f7f7a_1
5feffffb_c1007ff0_de6f1108_xxxxx_x | de6f1108_1
4e90003f_477ffbdf_46900291_xxxxx_x | 46900292_0
38ae8990_b3ff007e_c42f3872_xxxxx_x | c42f3872_1
b3fffbfd_4de3b1ab_a58fe754_xxxxx_x | a58fe754_1
3a701ffe_5e5c497e_1b8b86ec_xxxxx_x | 1b8b86ea_0
b9200002_be100003_3a8e38e2_xxxxx_x | 3a8e38e2_1
7407ffef_3b7fef7f_780808b4_xxxxx_x | 780808b4_1
b000007f_b3800000_3c00007f_xxxxx_x | 3c00007f_1
41f7feff_cc0800ff_b56966c2_xxxxx_x | b56966c2_1
ce7e0003_3e7fffe7_cf7e001b_xxxxx_x | cf7e001c_0
dfffbbfe_ba800801_64ffac04_xxxxx_x | 64ffac01_0
ce80001e_b3800001_5a80001d_xxxxx_x | 5a80001d_1
4b80081f_3c6ffff6_4e889137_xxxxx_x | 4e889138_0
bedf0000_cffff006_2e5f0dec_xxxxx_x | 2e5f0dec_1
ab8007df_b3ffffff_370007df_xxxxx_x | 370007e0_0
c1003f80_c19325f1_3edf1e5b_xxxxx_x | 3edf1e5c_0
55395778_c5900ffe_cf24ad3d_xxxxx_x | cf24ad3d_1
4500dffe_b3fffffe_d080dfff_xxxxx_x | d080dfff_1
b81fffbf_4f7f7fdf_a8204ffc_xxxxx_x | a8204ffc_1
c0007fde_3f000200_c0807ddc_xxxxx_x | c0807ddc_1
defffbff_4e87ffef_cff0ed4d_xxxxx_x | cff0ed4a_0
3f800810_be800000_c0800810_xxxxx_x | c0800810_1
bfffe003_3f7bfffb_c001f7e3_xxxxx_x | c001f7e4_0
cb800107_7ec6fcec_8c24adad_xxxxx_x | 8c24adae_0
395549a1_e284007f_964ed242_xxxxx_x | 964ed242_1
3e20fffe_be800001_bf20ffff_xxxxx_x | bf20fffd_0
4bffffde_5e0043ff_2d7f7828_xxxxx_x | 2d7f7828_1
efbff7ff_40ffe01f_ee400fea_xxxxx_x | ee400fea_1
b3fff7ff_cfffddff_23800d02_xxxxx_x | 23800d02_1
a07ffff7_cb82ffff_147a2326_xxxxx_x | 147a2326_1
3376a5ea_befffffe_b3f6a5ec_xxxxx_x | b3f6a5ec_1
cfc00007_7eff8ffe_9040542d_xxxxx_x | 9040542d_1
417fc010_c0c921c4_c022c252_xxxxx_x | c022c24f_0
a48087fe_bf000000_250087fe_xxxxx_x | 250087fe_1
43800000_fec8de59_842321ae_xxxxx_x | 842321ae_1
c2801ffb_84e532c8_7d0f1b7e_xxxxx_x | 7d0f1b7e_1
811aaa2f_bf000001_019aaa30_xxxxx_x | 019aaa2e_0
c3ffbffd_c6000080_3d7fbefd_xxxxx_x | 3d7fbefd_1
be90fffe_b3f80100_4a15accf_xxxxx_x | 4a15accf_1
d0ba464e_4e9ff7fe_c1950c81_xxxxx_x | c1950c81_1
400f0000_bf7fffff_c00f0000_xxxxx_x | c00f0001_0
41c01ffe_3f7b28dd_41c3d3df_xxxxx_x | 41c3d3df_1
3b000806_cb80010f_af0006f7_xxxxx_x | af0006f7_1
5d000001_4e7f81fe_4e003f20_xxxxx_x | 4e003f21_0
d11ffbfe_bf7ffffe_511ffbff_xxxxx_x | 511ffbff_1
4e787ffe_43607ffe_4a8daf0a_xxxxx_x | 4a8daf0a_1
c0000207_d17ffc1f_2e0003f8_xxxxx_x | 2e0003f8_1
368401ff_bf800000_b68401ff_xxxxx_x | b68401ff_1
cf55df43_ce0017ff_40d5b732_xxxxx_x | 40d5b732_1
4200efff_bf800001_c200effe_xxxxx_x | c200effe_1
befffe03_41ff03fe_bc807d7e_xxxxx_x | bc807d7e_1
c0ffffc1_ce013ffe_327d85f6_xxxxx_x | 327d85f6_1
be800c00_bfffffff_3e000c00_xxxxx_x | 3e000c01_0
cbffbff0_c0fdf000_4a80e9da_xxxxx_x | 4a80e9da_1
ce7fffc1_3dfbffdf_d0020811_xxxxx_x | d0020812_0
be90d019_bff01ffe_3e1a62fd_xxxxx_x | 3e1a62fe_0
3fff8020_bffffffe_bf7f8022_xxxxx_x | bf7f8022_1
555053ab_2b3dffff_698c58b5_xxxxx_x | 698c58b5_1
c3e00ffe_c0000000_43600ffe_xxxxx_x | 43600ffe_1
3b49862d_bf00027f_bbc9823f_xxxxx_x | bbc9823f_1
ca3f9a4c_dfffff7d_29bf9aae_xxxxx_x | 29bf9aae_1
ce9fffef_c0000001_4e1fffee_xxxxx_x | 4e1fffee_1
409ffffb_c0e3fffe_bf33a629_xxxxx_x | bf33a629_1
be000420_bd8ff7fe_3fe3a237_xxxxx_x | 3fe3a237_1
25effbff_bf823fff_a5ebd6bb_xxxxx_x | a5ebd6bb_1
be00017e_c07fffff_3d00017e_xxxxx_x | 3d00017f_0
410203ff_c083a98b_bffccc5b_xxxxx_x | bffccc5c_0
6f0f7ffe_c4801f7f_ea0f5cb7_xxxxx_x | ea0f5cb7_1
3e7ffe08_c0203ffe_bdcc7972_xxxxx_x | bdcc7972_1
bd7ff808_c07ffffe_3c7ff80a_xxxxx_x | 3c7ff80a_1
3fff80fe_3f93fffe_3fdcf9f6_xxxxx_x | 3fdcf9f3_0
de878b6a_43feff7f_da0813c2_xxxxx_x | da0813c2_1
45f00200_b67d399a_cef2a351_xxxxx_x | cef2a352_0
46ffbfbe_c0800000_c5ffbfbe_xxxxx_x | c5ffbfbe_1
500003fb_bef07ffe_d088441c_xxxxx_x | d088441c_1
40ffff7b_be7c03fe_c20205cd_xxxxx_x | c20205ce_0
fefbfff6_427c00ff_fbfffef2_xxxxx_x | fbfffef3_0
4bffff9f_5f800120_2bfffd5f_xxxxx_x | 2bfffd5f_1
c0ffc1ff_c1720000_3f0746e2_xxxxx_x | 3f0746e0_0
c16a1769_b7e3da6c_49038122_xxxxx_x | 49038122_1
cf803fef_c0ffffff_4e003fef_xxxxx_x | 4e003ff0_0
bf2d7d6c_de80803f_202cd047_xxxxx_x | 202cd047_1
de7f77fe_b83fbfff_65aa88d8_xxxxx_x | 65aa88d8_1
ceffe003_3e097f06_d06e33f9_xxxxx_x | d06e33f9_1
be5c010a_c0fffffe_3cdc010b_xxxxx_x | 3cdc010c_0
bd754084_c619128b_36cd14c1_xxxxx_x | 36cd14c1_1
420100fe_ce017043_b37f23ef_xxxxx_x | b37f23ef_1
4e01fbff_4df9ee9b_3f8523e2_xxxxx_x | 3f8523e2_1
bb5bc04e_cb800000_2f5bc04e_xxxxx_x | 2f5bc04e_1
bf72bc5c_07c00002_f721d2e9_xxxxx_x | f721d2e6_0
5e9f3432_21dfc000_7c36268d_xxxxx_x | 7c36268d_1
a1ad5358_867000ff_5ab8e0aa_xxxxx_x | 5ab8e0ab_0
cefe0400_cb800001_42fe03fe_xxxxx_x | 42fe03fe_1
cf800ff7_4379f063_cb832af9_xxxxx_x | cb832af9_1
96fff020_bf407fff_172a2ea2_xxxxx_x | 172a2ea2_1
a1e2b1c1_cbffffff_1562b1c1_xxxxx_x | 1562b1c2_0
407fdff7_df8b1a86_a06b7345_xxxxx_x | a06b7345_1
de9fbd60_4f3ffff8_ced4fc89_xxxxx_x | ced4fc89_1
6505fffe_bcfa0000_e7893749_xxxxx_x | e789374a_0
bf001008_cbfffffe_32801008_xxxxx_x | 32801009_0
c161e87b_e0ce939c_200bfa72_xxxxx_x | 200bfa72_1
b17c001f_33a0000e_bd4999a1_xxxxx_x | bd4999a1_1
bf10001e_017fff3f_fd10008a_xxxxx_x | fd10008b_0
c377ffc0_418fffdf_c15c71c3_xxxxx_x | c15c71c1_0
dfffffe2_2f000042_f07fff5e_xxxxx_x | f07fff5e_1
dffdfffd_fe800001_20fdfffb_xxxxx_x | 20fdfffb_1
a28000fb_c083ffbf_21784070_xxxxx_x | 21784071_0
bd802001_cf80003f_2d801fc2_xxxxx_x | 2d801fc2_1
437efff8_feffffff_83fefff9_xxxxx_x | 83fefff9_1
37fffdf0_cf894bbe_a7eea8da_xxxxx_x | a7eea8d8_0
b241fffe_bb808008_36413eb3_xxxxx_x | 36413eb3_1
c5215419_48000018_bca153fb_xxxxx_x | bca153fb_1
49b6ec44_fefffffe_8a36ec45_xxxxx_x | 8a36ec45_1
31dffffe_c17efdff_afe0e2a3_xxxxx_x | afe0e2a3_1
cd800203_407ff7f6_cc800608_xxxxx_x | cc800608_1
be808003_b3020002_4afd0bd2_xxxxx_x | 4afd0bd3_0
4bfffbfe_4e6007ff_3d1241a2_xxxxx_x | 3d1241a2_1
5e89fde3_b71ffffe_e6dcc96e_xxxxx_x | e6dcc96e_1
426fffef_c6fffdde_baf001ee_xxxxx_x | baf001ef_0
b3807fe0_407c01fe_b2828900_xxxxx_x | b2828900_1
c3945e2d_41bffffc_c145d2eb_xxxxx_x | c145d2eb_1
38f81ffe_3e801ffb_39f7e20f_xxxxx_x | 39f7e20f_1
cb8001ef_41f4ba4e_c905e754_xxxxx_x | c905e754_1
3ef074cb_17ff01fe_6671644e_xxxxx_x | 6671644e_1
3e03fff0_413622e2_3c3987f5_xxxxx_x | 3c3987f5_1
be79ffff_017ea261_fc7b5741_xxxxx_x | fc7b5741_1
3ef80010_3f808fff_3ef6ea4a_xxxxx_x | 3ef6ea4a_1
be82007f_b3fc00ff_4a04103c_xxxxx_x | 4a04103c_1
2680006e_4e7ffffa_17800070_xxxxx_x | 17800071_0
4201ffff_bfffffff_c181ffff_xxxxx_x | c1820000_0
4c9fa347_4f802800_3c9f7176_xxxxx_x | 3c9f7174_0
4080801f_33800801_4c807819_xxxxx_x | 4c807816_0
c181f7fe_c6802200_3a81d581_xxxxx_x | 3a81d581_1
3f81fff8_c10fdfff_bde74fcc_xxxxx_x | bde74fcc_1
b3fff9fe_bffbfffa_33820516_xxxxx_x | 33820516_1
c1ffff77_bdfefffd_4380803d_xxxxx_x | 4380803d_1
c0ffbf80_fece6d38_019e9540_xxxxx_x | 019e953e_0
4f00008e_4b80000b_43000083_xxxxx_x | 43000083_1
c1200040_ce7e007f_32214274_xxxxx_x | 32214275_0
4b7ffe7f_43fffee0_46ffff9f_xxxxx_x | 46ffff9f_1
c0bf4d0b_df700000_20cc0de9_xxxxx_x | 20cc0dea_0
3efdffef_bfc5812c_bea49d1e_xxxxx_x | bea49d1e_1
bffe0ffe_c1e5f9eb_3d8d67e9_xxxxx_x | 3d8d67e9_1
de81c068_33800000_ea81c068_xxxxx_x | ea81c068_1
4e03ffe0_bf000f7f_ce83efe7_xxxxx_x | ce83efe7_1
3d3490b7_c262478d_ba4c4810_xxxxx_x | ba4c4810_1
c000ef5b_c2c91c55_3ca42015_xxxxx_x | 3ca42016_0
aa0f0d59_33800001_b60f0d58_xxxxx_x | b60f0d58_1
dc1000fe_bc0ffffe_5f8000e6_xxxxx_x | 5f8000e4_0
ad7ea73c_5effff82_8dfea7b9_xxxxx_x | 8dfea7b9_1
3f800083_c50005ff_b9fff508_xxxxx_x | b9fff509_0
40e3a987_33ffffff_4c63a988_xxxxx_x | 4c63a988_1
cf03bfff_cf7b2b61_3f0648a9_xxxxx_x | 3f0648a9_1
3d35bb6e_c11fdfff_bb917fd9_xxxxx_x | bb917fd9_1
be436c03_c1e0574a_3bdefff8_xxxxx_x | 3bdefff9_0
be100004_33fffffe_c9900005_xxxxx_x | c9900005_1
c280401f_587c003f_a9824923_xxxxx_x | a9824923_1
cbfffcff_bf7ffffd_4bfffd02_xxxxx_x | 4bfffd02_1
c0396581_2cddd520_d2d5f3b4_xxxxx_x | d2d5f3b4_1
5e1fdffe_cf6effff_ce2b3f31_xxxxx_x | ce2b3f31_1
c1aa5a4f_3e800001_c2aa5a4e_xxxxx_x | c2aa5a4e_1
c003fdff_bc4ca33d_43251f01_xxxxx_x | 43251f01_1
3ef07fff_4e63ffff_3007047e_xxxxx_x | 3007047e_1
be801bff_3effffff_bf001bff_xxxxx_x | bf001c00_0
4e2aac3e_cbfeff7e_c1ab57ed_xxxxx_x | c1ab57ed_1
c089ffff_3efffffe_c109ffff_xxxxx_x | c10a0000_0
4effc03e_41d1d932_4c9bffb7_xxxxx_x | 4c9bffb7_1
3e0007fc_3f000000_3e8007fc_xxxxx_x | 3e8007fc_1
407e0040_bfdfbfff_c0114e3c_xxxxx_x | c0114e3c_1
c17fffb6_063ffffc_faaaaa7d_xxxxx_x | faaaaa7d_1
4e778000_3f000001_4ef77ffe_xxxxx_x | 4ef77ffe_1
3fa68738_f67ffff8_88a6873d_xxxxx_x | 88a6873d_1
4fefefff_3f7fffff_4feff000_xxxxx_x | 4feff000_1
3d78001e_23801fbf_5977c2ab_xxxxx_x | 5977c2ab_1
419c064c_5f7ff7ef_219c0b37_xxxxx_x | 219c0b37_1
0d6c0f5a_3f7ffffe_0d6c0f5c_xxxxx_x | 0d6c0f5c_1
4610003e_3e803ffc_470fb866_xxxxx_x | 470fb866_1
390800ff_40fff83e_3788051e_xxxxx_x | 3788051e_1
40fffebf_40000020_407ffe7f_xxxxx_x | 407ffe7f_1
40c8ec08_3f800000_40c8ec08_xxxxx_x | 40c8ec08_1
d5ff7ff7_3e7fffc2_d6ff8034_xxxxx_x | d6ff8035_0
ac6d9438_4eaa3527_9d32aa32_xxxxx_x | 9d32aa30_0
cbbf0650_3f800001_cbbf064f_xxxxx_x | cbbf064f_1
ad337cc2_cbab7e26_2105f790_xxxxx_x | 2105f790_1
4100009f_bf477c96_c12443c4_xxxxx_x | c12443c5_0
884c5b05_c28d621d_053902e9_xxxxx_x | 053902e9_1
be811ffe_3fffffff_be011ffe_xxxxx_x | be011fff_0
be000050_3f42ac23_be28534e_xxxxx_x | be28534e_1
41000060_b8800200_c7fffcc0_xxxxx_x | c7fffcc0_1
402f4615_3ffffffe_3faf4616_xxxxx_x | 3faf4616_1
c3003eff_feff7ff6_03807f43_xxxxx_x | 03807f44_0
c8e75d68_ed7fff5e_1ae75dfa_xxxxx_x | 1ae75dfa_1
af00107f_40000000_ae80107f_xxxxx_x | ae80107f_1
fefffffe_40ffbfbf_fd802027_xxxxx_x | fd802028_0
be872050_5d800040_a087200c_xxxxx_x | a087200c_1
be000820_bd8b3742_3feb6f11_xxxxx_x | 3feb6f11_1
5f80ffbe_40000001_5f00ffbd_xxxxx_x | 5f00ffbd_1
41ffbff7_50c5371b_30a5fdba_xxxxx_x | 30a5fdba_1
ceff8040_4e7fff0f_bfff8130_xxxxx_x | bfff8131_0
5e84001f_cba9927a_d2474758_xxxxx_x | d2474758_1
5f883ffe_407fffff_5e883ffe_xxxxx_x | 5e883fff_0
41000000_3f000208_417ffbf0_xxxxx_x | 417ffbf0_1
a2f60000_c0fffe02_217601ea_xxxxx_x | 217601ea_1
dff0a5e3_29003ffe_f6702dd0_xxxxx_x | f6702dd0_1
de3fffbf_cfc34734_4dfbb383_xxxxx_x | 4dfbb383_1
3d877fff_40800000_3c877fff_xxxxx_x | 3c877fff_1
477dff7f_2bb4e896_5b33b6b7_xxxxx_x | 5b33b6b7_1
14803fff_0102ffff_52faa03e_xxxxx_x | 52faa03e_1
be801f7e_40800001_bd801f7d_xxxxx_x | bd801f7d_1
407feef4_f680100f_897fcedc_xxxxx_x | 897fcedc_1
56fe0004_ce536b4b_c819c7a9_xxxxx_x | c819c7a7_0
3cdfffef_40ffffff_3b5fffef_xxxxx_x | 3b5ffff0_0
c510fffe_338914e2_d10764d0_xxxxx_x | d10764d1_0
9c001001_41fff008_998017fe_xxxxx_x | 998017fe_1
4f003efe_48fc03ff_4582460d_xxxxx_x | 4582460e_0
999ed0fe_40fffffe_981ed0ff_xxxxx_x | 981ed0ff_1
e9001002_cb98cbc5_5cd68f88_xxxxx_x | 5cd68f89_0
c181ffbe_cfe10000_3113e8f3_xxxxx_x | 3113e8f3_1
4f000041_414689ea_4d250c12_xxxxx_x | 4d250c13_0
c007fffe_21028000_de856505_xxxxx_x | de856505_1
de7fe800_4b800001_d27fe7fe_xxxxx_x | d27fe7fe_1
cbf01fff_de781fff_2cf7bf00_xxxxx_x | 2cf7bf00_1
c07efffd_4f7ffc7f_b07f037a_xxxxx_x | b07f037b_0
ce808008_dfa87912_2e434292_xxxxx_x | 2e434292_1
c2d1da8f_c0560fcd_41faf7b5_xxxxx_x | 41faf7b5_1
418001f6_4bfffffe_350001f7_xxxxx_x | 350001f7_1
ce74eb84_5e5a16ad_af8fbf71_xxxxx_x | af8fbf71_1
be80010f_b3dffffe_4a124a5b_xxxxx_x | 4a124a5c_0
c395e17f_b3c04000_4f4794cd_xxxxx_x | 4f4794cd_1
cf7f7ffc_4f7fdffe_bf7f9ff2_xxxxx_x | bf7f9ff2_1
43061803_be87ff80_c3fc6a5c_xxxxx_x | c3fc6a5d_0
8bb0dee9_3f7fefef_8bb0ea03_xxxxx_x | 8bb0ea03_1
45fff7fc_3e8482ad_46f74183_xxxxx_x | 46f74183_1
5d8000df_33800000_698000df_xxxxx_x | 698000df_1
cf8001fa_3ff7fff0_cf04231b_xxxxx_x | cf04231b_1
cb07209d_b1f7fffc_588b7c83_xxxxx_x | 588b7c83_1
b08003f7_84ff7ffc_6b00441b_xxxxx_x | 6b00441b_1
3ffffc1f_26810000_58fe001f_xxxxx_x | 58fe001f_1
c1000006_470fffdf_b9638e78_xxxxx_x | b9638e78_1
40e80000_5d7fc3ff_22e8366d_xxxxx_x | 22e8366e_0
beffe800_3e000101_c07fe5fe_xxxxx_x | c07fe5fe_1
4fc84eec_1a258907_751ae364_xxxxx_x | 751ae362_0
c1f8995b_b3ff7bfe_4d7919ce_xxxxx_x | 4d7919ce_1
bf808000_c3a4d3d0_3b479417_xxxxx_x | 3b479417_1
bcfff808_3f52030a_bd1c02a3_xxxxx_x | bd1c02a3_1
5f04fffe_5e000802_4084f7af_xxxxx_x | 4084f7ac_0
e77fe1fe_5f7aa3f9_c782ad5c_xxxxx_x | c782ad5c_1
4f7003ff_43fdfffe_4af1e7d0_xxxxx_x | 4af1e7d1_0
40fc0010_c00103fe_c07a043b_xxxxx_x | c07a043b_1
3fffc7fe_b8ed1ff9_c68a1218_xxxxx_x | c68a1218_1
44800403_48621bd3_3b90f06f_xxxxx_x | 3b90f06f_1
e6fffdf0_4040001f_e62aa92f_xxxxx_x | e62aa92f_1
3fffdbfe_c7ffcfff_b7800601_xxxxx_x | b7800601_1
5f001fff_de0000fb_c0801f04_xxxxx_x | c0801f04_1
caaf216d_3ea00800_cb8c13bf_xxxxx_x | cb8c13bd_0
c1b4310f_2a1104f9_d71f0b61_xxxxx_x | d71f0b5f_0
7efc0008_dfe08272_de8fac5a_xxxxx_x | de8fac5a_1
3f084000_5f5c0000_1f1e8ba3_xxxxx_x | 1f1e8ba3_1
c0ffff7f_9f7fefff_610007c0_xxxxx_x | 610007c0_1
de800017_f60081ff_27fefd36_xxxxx_x | 27fefd37_0
c1f3ffff_4e000f00_b373e36d_xxxxx_x | b373e36a_0
b3ffc007_4177dfff_b2041111_xxxxx_x | b204110f_0
bf9747a1_bf7fff81_3f9747eb_xxxxx_x | 3f9747ec_0
4bfffff7_411000ff_4a638c9e_xxxxx_x | 4a638c9e_1
4e9fffe0_40c1d455_4d5351b6_xxxxx_x | 4d5351b6_1
41fffbff_cea0000f_b2ccc988_xxxxx_x | b2ccc986_0
c1201000_3f5fffff_c136edb7_xxxxx_x | c136edb8_0
417bffbf_3d9fff7e_43499a09_xxxxx_x | 43499a09_1
3e80400e_5f4892c3_1ea3b0e9_xxxxx_x | 1ea3b0e9_1
c17fe01e_b3800000_4d7fe01e_xxxxx_x | 4d7fe01e_1
3a7ffff1_c2a03ffe_b74c7afb_xxxxx_x | b74c7af9_0
c0ffd800_cf9b3361_30d30113_xxxxx_x | 30d30114_0
b087ffbf_b3800001_3c87ffbe_xxxxx_x | 3c87ffbe_1
de001fc0_c1b04a48_5bba0e36_xxxxx_x | 5bba0e34_0
bf100ffe_c150d432_3d309a98_xxxxx_x | 3d309a98_1
c0a6ef63_3ebbcb44_c16390b3_xxxxx_x | c16390b3_1
3fb3b27d_3ef7bfff_4039ae5c_xxxxx_x | 4039ae5c_1
3ff8000f_4efffa00_307805df_xxxxx_x | 307805df_1
3dfc0400_dfffc07f_9d7c4296_xxxxx_x | 9d7c4293_0
c158538f_bacfab94_460555d9_xxxxx_x | 460555d9_1
c0f4d124_ebebffff_1484c837_xxxxx_x | 1484c837_1
12269bb5_be800000_93269bb5_xxxxx_x | 93269bb5_1
295fffff_bfe670c7_a8f8d857_xxxxx_x | a8f8d858_0
c8ebc1d1_bdcdb662_4a92b1d3_xxxxx_x | 4a92b1d3_1
3d61de80_39680000_43793c23_xxxxx_x | 43793c23_1
4167f09c_be800001_c267f09a_xxxxx_x | c267f09a_1
39840007_813ed81c_f7b110ea_xxxxx_x | f7b110ea_1
c380407e_de7c0010_2482499c_xxxxx_x | 2482499c_1
ed201fff_beffffff_6da01fff_xxxxx_x | 6da02000_0
be7feffd_70feffbe_8d007898_xxxxx_x | 8d007898_1
c1fe0040_befffffe_427e0042_xxxxx_x | 427e0042_1
b9b2c581_4bc03fff_ad6e0d53_xxxxx_x | ad6e0d53_1
b3808040_c07e03fe_3281813d_xxxxx_x | 3281813d_1
beffffc0_441ed7f6_ba4e4a4a_xxxxx_x | ba4e4a4a_1
418401fe_bf000000_c20401fe_xxxxx_x | c20401fe_1
c1f91363_3e200001_c34742b7_xxxxx_x | c34742b4_0
c07803ff_ce9a45b7_314dc76a_xxxxx_x | 314dc76a_1
cf003ffb_bf93a1a5_4ede643c_xxxxx_x | 4ede643c_1
579a5756_bf000001_d81a5755_xxxxx_x | d81a5755_1
4a807ffa_3e000220_4c007dd8_xxxxx_x | 4c007dd8_1
c2fffffe_5f2a7168_a340407f_xxxxx_x | a340407f_1
bf0077ff_bf7fffff_3f0077ff_xxxxx_x | 3f007800_0
c37c001f_9581000f_6d7a0bea_xxxxx_x | 6d7a0bea_1
3eea901b_38801dff_45ea5930_xxxxx_x | 45ea5930_1
defffcff_bf7ffffe_5efffd01_xxxxx_x | 5efffd01_1
3481dfff_c380000a_b081dff5_xxxxx_x | b081dff5_1
c079fffe_b001bffe_4ff6a0cf_xxxxx_x | 4ff6a0cf_1
ce7fc010_431ca44d_cad0fc8f_xxxxx_x | cad0fc8f_1
010f7fff_bf800000_810f7fff_xxxxx_x | 810f7fff_1
be9d10fc_3e01fbfe_c01aab27_xxxxx_x | c01aab27_1
4f7fc000_cf7fffbf_bf7fc040_xxxxx_x | bf7fc041_0
5d0ffc00_c077fffe_dc14a109_xxxxx_x | dc14a109_1
befffe03_4b90ffff_b2e1fab8_xxxxx_x | b2e1fab8_1
c3d00000_feff8000_04506834_xxxxx_x | 04506834_1
41ffffc4_bfffffff_c17fffc5_xxxxx_x | c17fffc5_1
b3c3fc64_3defeffe_b5511b2a_xxxxx_x | b5511b2a_1
4167a44e_c0800004_c067a447_xxxxx_x | c067a447_1
c88000bf_3f783ffe_c883ffbe_xxxxx_x | c883ffbe_1
c18003fe_bffffffe_410003ff_xxxxx_x | 410003ff_1
5e7ff600_3effebff_5f000501_xxxxx_x | 5f000501_1
de7fffd0_de4b2ba6_3fa14865_xxxxx_x | 3fa14865_1
c580ff7f_c0000000_4500ff7f_xxxxx_x | 4500ff7f_1
bc1fff7f_61a6f977_99f54dcf_xxxxx_x | 99f54dcf_1
3f7fb000_3f8103fe_3f7dacbd_xxxxx_x | 3f7dacbd_1
c4f80000_c0000001_4477fffe_xxxxx_x | 4477fffe_1
41822cec_ebfdffde_95033364_xxxxx_x | 95033364_1
5e87effe_41800000_5c87effe_xxxxx_x | 5c87effe_1
